# Generated by scripts/gen-oui.py from the IEEE MA-L registry. Do not edit.
# prefix,vendor
000F9F,Arris
000FA0,Canon
000FB0,Compal
000FB3,Actiontec
000FB5,Netgear
000FBB,Nokia
000FCB,3Com
000FCC,Arris
000FDE,Sony
000FE7,Lutron
000FEA,Gigabyte
000FF7,Cisco
000FF8,Cisco
001007,Cisco
00100B,Cisco
00100D,Cisco
001011,Cisco
001014,Cisco
001018,Broadcom
00101F,Cisco
001029,Cisco
00102F,Cisco
00104B,3Com
00104F,VirtualBox
001054,Cisco
001055,Fujitsu
00105A,3Com
001067,Ericsson
001079,Cisco
00107B,Cisco
001083,HP
00108C,Fujitsu
00109B,Emulex
0010A6,Cisco
0010B3,Nokia
0010DB,Juniper
0010DC,MSI
0010E0,VirtualBox
0010E3,HP
0010F6,Cisco
0010FA,Apple
0010FF,Cisco
001109,MSI
00110A,HP
001111,Intel
001112,Honeywell
00111A,Arris
001120,Cisco
001121,Cisco
001124,Apple
00112F,ASUSTek
001132,Synology
001143,Dell
001150,Belkin
00115C,Cisco
00115D,Cisco
001175,Intel
001180,Arris
001185,HP
001188,Extreme
001192,Cisco
001193,Cisco
001195,D-Link
00119F,Nokia
0011AE,Arris
0011BB,Cisco
0011BC,Cisco
0011C6,Seagate
0011D8,ASUSTek
0011D9,TiVo
0011F5,Askey
001200,Cisco
001201,Cisco
00120A,Emerson
001217,Linksys
00121E,Juniper
001225,Arris
001237,TI
00123F,Dell
001243,Cisco
001244,Cisco
001247,Samsung
001248,Dell
00124B,TI
00125A,Microsoft
001262,Nokia
001267,Panasonic
001279,HP
00127F,Cisco
001280,Cisco
00128A,Arris
0012A9,3Com
0012C9,Arris
0012D1,TI
0012D2,TI
0012D9,Cisco
0012DA,Cisco
0012EE,Sony
0012F0,Intel
0012FB,Samsung
0012FE,Lenovo
001302,Intel
001310,Linksys
001311,Arris
001315,Sony
001319,Cisco
00131A,Cisco
001320,Intel
001321,HP
001346,D-Link
001349,Zyxel
00135F,Cisco
001360,Cisco
001370,Nokia
001371,Arris
001372,Dell
001374,Atheros
001377,Samsung
00137F,Cisco
001380,Cisco
001392,Ruckus
001397,VirtualBox
0013A9,Sony
0013C3,Cisco
0013C4,Cisco
0013CE,Intel
0013D3,MSI
0013D4,ASUSTek
0013E0,Murata
0013E8,Intel
0013F3,Gigabyte
0013FD,Nokia
001404,Arris
00141B,Cisco
00141C,Cisco
001422,Dell
001438,HP
00144F,VirtualBox
001451,Apple
001460,Kyocera
001469,Cisco
00146A,Cisco
00146C,Netgear
001478,TP-Link
001479,NEC
00147C,3Com
00147F,Technicolor
001485,Gigabyte
001492,Liteon
00149A,Arris
0014A4,Foxconn
0014A7,Nokia
0014A8,Cisco
0014A9,Cisco
0014BF,Linksys
0014C2,HP
0014C3,Seagate
0014D1,TRENDnet
0014E8,Arris
0014EE,WD
0014F1,Cisco
0014F2,Cisco
0014F6,Juniper
001500,Intel
001505,Actiontec
00150C,AVM
001517,Intel
001525,Chamberlain
00152A,Nokia
00152B,Cisco
00152C,Cisco
00152F,Arris
001530,Dell
001556,Sagemcom
001558,Foxconn
00155D,Microsoft
001560,HP
001562,Cisco
001563,Cisco
00156D,Ubiquiti
001570,Zebra
001596,Arris
001599,Samsung
00159A,Arris
0015A0,Nokia
0015A2,Arris
0015A3,Arris
0015A4,Arris
0015A8,Arris
0015AF,AzureWave
0015B7,Toshiba
0015B9,Samsung
0015C1,Sony
0015C5,Dell
0015C6,Cisco
0015C7,Cisco
0015CE,Arris
0015CF,Arris
0015D0,Arris
0015D1,Arris
0015DE,Nokia
0015E0,Ericsson
0015E9,D-Link
0015EB,ZTE
0015EF,NEC
0015F2,ASUSTek
0015F9,Cisco
0015FA,Cisco
001601,Buffalo
001617,MSI
001620,Sony
001626,Arris
001632,Samsung
001635,HP
001636,Quanta
00163E,Xen
001644,Liteon
001646,Cisco
001647,Cisco
00164E,Nokia
001656,Nintendo
00166B,Samsung
00166C,Samsung
00166F,Intel
001675,Arris
001676,Intel
00167A,Skyworth
001697,NEC
00169C,Cisco
00169D,Cisco
0016B5,Arris
0016B6,Linksys
0016B8,Sony
0016BC,Nokia
0016C7,Cisco
0016C8,Cisco
0016CB,Apple
0016CE,Foxconn
0016CF,Foxconn
0016D3,Wistron
0016D4,Compal
0016DB,Samsung
0016E0,3Com
0016E3,Askey
0016E6,Gigabyte
0016EA,Intel
0016EB,Intel
0016F0,Dell
001700,Arris
001708,HP
00170E,Cisco
00170F,Cisco
001731,ASUSTek
001735,Intel
00173B,Cisco
00173F,Belkin
001742,Fujitsu
00174B,Nokia
001759,Cisco
00175A,Cisco
00175C,Sharp
001783,TI
001784,Arris
001787,Brother
001788,Philips
001794,Cisco
001795,Cisco
00179A,D-Link
0017A4,HP
0017A5,Ralink
0017AB,Nintendo
0017B0,Nokia
0017B6,Aquantia
0017C4,Quanta
0017C5,SonicWall
0017C8,Kyocera
0017C9,Samsung
0017CB,Juniper
0017D5,Samsung
0017DF,Cisco
0017E0,Cisco
0017E2,Arris
0017E3,TI
0017E4,TI
0017E5,TI
0017E6,TI
0017E7,TI
0017E8,TI
0017E9,TI
0017EA,TI
0017EB,TI
0017EC,TI
0017EE,Arris
0017F2,Apple
0017FA,Microsoft
001801,Actiontec
00180A,Cisco
00180F,Nokia
001813,Sony
001818,Cisco
001819,Cisco
001827,NEC
00182F,TI
001830,TI
001831,TI
001832,TI
001833,TI
001834,TI
001839,Linksys
001842,Nokia
00184D,Netgear
001862,Seagate
001868,Cisco
00186E,3Com
001871,HP
001873,Cisco
001874,Cisco
001882,Huawei
001885,Motorola
00188B,Dell
00188D,Nokia
0018A4,Arris
0018AF,Samsung
0018B9,Cisco
0018BA,Cisco
0018C0,Arris
0018C5,Nokia
0018DE,Intel
0018F3,ASUSTek
0018F6,Technicolor
0018F8,Linksys
0018FE,HP
001906,Cisco
001907,Cisco
00191D,Nintendo
00192C,Arris
00192D,Nokia
00192F,Cisco
001930,Cisco
001947,Cisco
00194B,Sagemcom
00194F,Nokia
001955,Cisco
001956,Cisco
00195B,D-Link
00195E,Arris
001963,Sony
001977,Extreme
001979,Nokia
00197D,Foxconn
00197E,Foxconn
001987,Panasonic
00198F,Nokia
001992,Adtran
001999,Fujitsu
00199D,Vizio
0019A6,Arris
0019A9,Cisco
0019AA,Cisco
0019B7,Nokia
0019B9,Dell
0019BB,HP
0019C0,Arris
0019C5,Sony
0019C6,ZTE
0019CB,Zyxel
0019D1,Intel
0019D2,Intel
0019DB,MSI
0019E0,TP-Link
0019E2,Juniper
0019E3,Apple
0019E7,Cisco
0019E8,Cisco
0019FD,Nintendo
001A11,Google
001A16,Nokia
001A1B,Arris
001A1E,Aruba
001A2F,Cisco
001A30,Cisco
001A4B,HP
001A4D,Gigabyte
001A4F,AVM
001A66,Arris
001A6C,Cisco
001A6D,Cisco
001A70,Linksys
001A75,Sony
001A77,Arris
001A80,Sony
001A89,Nokia
001A8A,Samsung
001A8C,Sophos
001A92,ASUSTek
001A95,Hisense
001A9A,Skyworth
001AA0,Dell
001AA1,Cisco
001AA2,Cisco
001AAD,Arris
001AB6,TI
001AC1,3Com
001ADB,Arris
001ADC,Nokia
001ADE,Arris
001AE2,Cisco
001AE3,Cisco
001AE9,Nintendo
001B0C,Cisco
001B0D,Cisco
001B11,D-Link
001B17,Palo Alto
001B21,Intel
001B24,Quanta
001B2A,Cisco
001B2B,Cisco
001B2F,Netgear
001B32,QLogic
001B33,Nokia
001B38,Compal
001B52,Arris
001B53,Cisco
001B54,Cisco
001B59,Sony
001B63,Apple
001B67,Cisco
001B77,Intel
001B78,HP
001B7A,Nintendo
001B8B,NEC
001B8F,Cisco
001B90,Cisco
001B98,Samsung
001B9E,Askey
001BA9,Brother
001BAF,Nokia
001BB1,Wistron Neweb
001BBF,Sagemcom
001BC0,Juniper
001BD3,Panasonic
001BD4,Cisco
001BD5,Cisco
001BD7,Cisco
001BDD,Arris
001BE9,Broadcom
001BEA,Nintendo
001BEE,Nokia
001BFC,ASUSTek
001C0E,Cisco
001C0F,Cisco
001C10,Linksys
001C11,Arris
001C12,Arris
001C14,VMware
001C23,Dell
001C25,Foxconn
001C26,Foxconn
001C35,Nokia
001C42,Parallels
001C43,Samsung
001C4A,AVM
001C50,TCL
001C57,Cisco
001C58,Cisco
001C62,LG
001C7E,Toshiba
001C9A,Nokia
001CA4,Sony
001CB0,Cisco
001CB1,Cisco
001CB3,Apple
001CBE,Nintendo
001CBF,Intel
001CC0,Intel
001CC1,Arris
001CC3,Arris
001CC4,HP
001CC5,3Com
001CD4,Nokia
001CD6,Nokia
001CDF,Belkin
001CEE,Sharp
001CF0,D-Link
001CF6,Cisco
001CF9,Cisco
001CFB,Arris
001D09,Dell
001D0D,Sony
001D0F,TP-Link
001D25,Samsung
001D28,Sony
001D2E,Ruckus
001D38,Seagate
001D3B,Nokia
001D40,Intel
001D45,Cisco
001D46,Cisco
001D4F,Apple
001D60,ASUSTek
001D68,Technicolor
001D6B,Arris
001D6E,Nokia
001D70,Cisco
001D71,Cisco
001D72,Wistron
001D73,Buffalo
001D7D,Gigabyte
001D7E,Linksys
001D92,MSI
001D96,WatchGuard
001D98,Nokia
001DA1,Cisco
001DA2,Cisco
001DB5,Juniper
001DBA,Sony
001DBC,Nintendo
001DBE,Arris
001DCD,Arris
001DCE,Arris
001DCF,Arris
001DD0,Arris
001DD1,Arris
001DD2,Arris
001DD3,Arris
001DD4,Arris
001DD5,Arris
001DD6,Arris
001DD8,Microsoft
001DD9,Foxconn
001DE0,Intel
001DE1,Intel
001DE5,Cisco
001DE6,Cisco
001DE9,Nokia
001DF6,Samsung
001DFD,Nokia
001E0B,HP
001E10,Huawei
001E13,Cisco
001E14,Cisco
001E1E,Honeywell
001E2A,Netgear
001E35,Nintendo
001E3A,Nokia
001E3B,Nokia
001E45,Sony
