# Generated by scripts/gen-oui.py from the IEEE MA-L registry. Do not edit.
# prefix,vendor
00A289,Cisco
00A2EE,Cisco
00A38E,Cisco
00A3D1,Cisco
00A45F,Huawei
00A554,Intel
00A5BF,Cisco
00A6CA,Cisco
00A742,Cisco
00AA00,Intel
00AA01,Intel
00AA02,Intel
00AA6E,Cisco
00AA70,LG
00AB48,eero
00ACE0,Arris
00AD24,D-Link
00ADD5,Huawei
00AEFA,Murata
00AF1F,Cisco
00B04A,Cisco
00B052,Atheros
00B064,Cisco
00B08E,Cisco
00B0C2,Cisco
00B0D0,Dell
00B0E1,Cisco
00B1E3,Cisco
00B362,Apple
00B5D0,Samsung
00B670,Cisco
00B771,Cisco
00B8B3,Cisco
00B8B6,Motorola
00BB1C,Huawei
00BB3A,Amazon
00BB60,Intel
00BBC1,Canon
00BC60,Cisco
00BD3A,Nokia
00BD3E,Vizio
00BE3B,Huawei
00BE43,Dell
00BE75,Cisco
00BF61,Samsung
00BF77,Cisco
00C002,Sercomm
00C04F,Dell
00C08F,Panasonic
00C09F,Quanta
00C0DD,QLogic
00C0EE,Kyocera
00C0FF,Seagate
00C164,Cisco
00C1B1,Cisco
00C2C6,Intel
00C30A,Xiaomi
00C3F4,Samsung
00C52C,Juniper
00C585,Apple
00C610,Apple
00C88B,Cisco
00CAE5,Cisco
00CB51,Sagemcom
00CB7A,Technicolor
00CC34,Juniper
00CCFC,Cisco
00CDFE,Apple
00D006,Cisco
00D02D,Resideo
00D037,Arris
00D058,Cisco
00D060,Panasonic
00D063,Cisco
00D079,Cisco
00D088,Arris
00D090,Cisco
00D096,3Com
00D097,Cisco
00D0AC,CommScope
00D0B7,Intel
00D0BA,Cisco
00D0BB,Cisco
00D0BC,Cisco
00D0C0,Cisco
00D0D3,Cisco
00D0D8,3Com
00D0DE,Philips
00D0E4,Cisco
00D0F6,Nokia
00D0FF,Cisco
00D49E,Intel
00D6FE,Cisco
00D76D,Intel
00D78F,Cisco
00D861,MSI
00D8A2,Huawei
00D9D1,Sony
00DA55,Cisco
00DB70,Apple
00DBDF,Intel
00DCB2,Extreme
00DEFB,Cisco
00DF1D,Cisco
00E000,Fujitsu
00E003,Nokia
00E00C,Motorola
00E014,Cisco
00E018,ASUSTek
00E01E,Cisco
00E02B,Extreme
00E034,Cisco
00E04C,Realtek
00E04F,Cisco
00E064,Samsung
00E06F,Arris
00E07D,Netronix
00E086,Emerson
00E08B,QLogic
00E08F,Cisco
00E091,LG
00E0A3,Cisco
00E0B0,Cisco
00E0D5,Emulex
00E0F7,Cisco
00E0F9,Cisco
00E0FC,Huawei
00E0FE,Cisco
00E16D,Cisco
00E18C,Intel
00E3B2,Samsung
00E406,Huawei
00E421,Sony
00E5F1,Buffalo
00E7E3,ZTE
00E93A,AzureWave
00EABD,Cisco
00EB2D,Sony
00EBD5,Cisco
00EC0A,Xiaomi
00EDB8,Kyocera
00EEAB,Cisco
00EEBD,HTC
00F28B,Cisco
00F361,Amazon
00F39F,Apple
00F46F,Samsung
00F48D,Liteon
00F4B9,Apple
00F620,Google
00F663,Cisco
00F76F,Apple
00F81C,Huawei
00F82C,Cisco
00FA21,Samsung
00FC8B,Amazon
00FC8D,Hitron
00FCBA,Cisco
00FD22,Cisco
00FD45,HP
00FEC8,Cisco
02608C,3Com
02C08C,3Com
04021F,Huawei
040312,Hikvision
0403D6,Nintendo
040973,HP
040CCE,Apple
040D84,Silicon Labs
040E3C,HP
04106B,Xiaomi
041552,Apple
04180F,Samsung
041892,Huawei
0418D6,Ubiquiti
041B6D,LG
041BBA,Samsung
041DC7,ZTE
041E64,Apple
042084,ZTE
04209A,Panasonic
0425C5,Huawei
0425F0,Nokia
042665,Apple
042728,Microsoft
042758,Huawei
04292E,Samsung
042AE2,Cisco
04331F,Huawei
043389,Huawei
0433C2,Intel
0434F6,Motorola
043F72,Mellanox
044169,GoPro
04421A,ASUSTek
044665,Murata
04489A,Apple
04495D,Huawei
044A6C,Huawei
044BED,Apple
044E06,Ericsson
044E5A,Arris
044EAF,LG
044F17,Humax
044F4C,Huawei
044FAA,Ruckus
0452C7,Bose
0452F3,Apple
045453,Apple
0456E5,Intel
045747,GoPro
045A95,Nokia
045C6C,Juniper
045D4B,Sony
045FB9,Cisco
046273,Cisco
0463D0,Huawei
046865,Apple
04698F,Juniper
0469F8,Apple
046C59,Intel
046C9D,Cisco
047295,Apple
047503,Huawei
0476B0,Cisco
047970,Huawei
0479B7,TI
047AAE,Huawei
047C16,MSI
047D7B,Quanta
04885F,Huawei
048C16,Huawei
048C9A,Huawei
049162,Microchip
049226,ASUSTek
049573,ZTE
0495E6,Tenda
0499B9,Apple
0499BB,Apple
049FCA,Huawei
04A151,Netgear
04A316,TI
04A741,Cisco
04A82A,Nokia
04B0E7,Huawei
04B167,Xiaomi
04B1A1,Samsung
04B429,Samsung
04B9E3,Samsung
04BA1C,Huawei
04BA8D,Samsung
04BAD6,D-Link
04BC6D,Apple
04BC9F,Calix
04BD70,Huawei
04BD88,Aruba
04BD97,Cisco
04BDBF,Samsung
04BF1B,Dell
04BF6D,Zyxel
04C06F,Huawei
04C1D8,Huawei
04C23E,HTC
04C241,Nokia
04C461,Murata
04C5A4,Cisco
04C807,Xiaomi
04CAED,Huawei
04CCBC,Huawei
04CD15,Silicon Labs
04CE7E,NXP
04CF4B,Intel
04CF8C,Xiaomi
04D13A,Xiaomi
04D395,Motorola
04D3B0,Intel
04D3B5,Huawei
04D3CF,Apple
04D4C4,ASUSTek
04D590,Fortinet
04D6AA,Samsung
04D9C8,Foxconn
04D9F5,ASUSTek
04DAD2,Cisco
04DB56,Apple
04E31A,Sagemcom
04E451,TI
04E536,Apple
04E598,Xiaomi
04E795,Huawei
04E8B9,Intel
04EA56,Intel
04EB40,Cisco
04ECD8,Intel
04ED33,Intel
04EE03,TI
04F03E,Huawei
04F13E,Apple
04F169,Huawei
04F352,Huawei
04F7E4,Apple
04F938,Huawei
04FE31,Samsung
04FE7F,Cisco
04FE8D,Huawei
04FF08,Huawei
080007,Apple
080009,HP
08001B,Dell
08001F,Sharp
080020,VirtualBox
080023,Panasonic
080027,VirtualBox
080028,TI
080046,Sony
08004E,3Com
08006A,AT&T
08006F,Philips
080072,Xerox
080205,Huawei
08028E,Netgear
080342,Palo Alto
080581,Roku
0805E2,Juniper
0808C2,Samsung
081086,NEC
081196,Intel
0812A5,Amazon
08152F,Samsung
081735,Cisco
08181A,ZTE
0819A6,Huawei
081AFD,Huawei
081C6E,Xiaomi
081F71,TP-Link
081FF3,Cisco
0821EF,Samsung
082525,Xiaomi
082573,Apple
082697,Zyxel
082CB6,Apple
082E36,Huawei
082E5F,HP
082FE9,Huawei
08306B,Palo Alto
08318B,Huawei
0831A4,Huawei
0836C9,Netgear
08373D,Samsung
0838E6,Motorola
083A8D,Espressif
083AF2,Espressif
083D88,Samsung
083E0C,Arris
083E5D,Sagemcom
083E8E,Foxconn
083FBC,ZTE
0840F3,Tenda
0845D1,Cisco
08474C,Nokia
0847D0,Nokia
084F0A,Huawei
084FA9,Cisco
084FF9,Cisco
085104,Huawei
085411,Hikvision
08569B,WiZ
085700,TP-Link
0857FB,Amazon
085A11,D-Link
085B0E,Fortinet
085BD6,Intel
085C1B,Huawei
08606E,ASUSTek
086083,ZTE
086266,ASUSTek
086361,Huawei
086518,Apple
08661F,Palo Alto
086698,Apple
08674E,Hisense
086A0A,Askey
086AC5,Intel
086AE5,Amazon
086BD7,Silicon Labs
086D41,Apple
086E9C,Huawei
087045,Apple
087190,Intel
087402,Apple
0876FF,Technicolor
087808,Samsung
08798C,Huawei
087A4C,Huawei
087C39,Amazon
087E64,Technicolor
088039,Cisco
0881F4,Juniper
08849D,Amazon
08863B,Belkin
0887C7,Apple
088C2C,Samsung
088E90,Intel
088EDC,Apple
089115,Amazon
089204,Dell
089356,Huawei
0894EF,Wistron
08952A,Technicolor
089542,Apple
0896AD,Cisco
0896D7,AVM
089734,HP
089798,Compal
089AC7,ZTE
089BB9,Nokia
089BF1,eero
089C86,Nokia
089DF4,Intel
089E01,Quanta
089E08,Google
089E84,Huawei
08A189,Hikvision
08A6BC,Amazon
08A7C0,Technicolor
08A842,Huawei
08A95A,AzureWave
08AA55,Motorola
08AA89,ZTE
08AED6,Samsung
08B055,Askey
08B258,Juniper
08B4B1,Google
08B61F,Espressif
08B738,Liteon
08BD43,Netgear
08BEAC,Edimax
08BFA0,Samsung
08C021,Huawei
08C06C,Huawei
08C0EB,Mellanox
08C5E1,Samsung
08C729,Apple
08CC27,Motorola
08CC68,Cisco
08CCA7,Cisco
08D09F,Cisco
08D23E,Intel
08D40C,Intel
08D42B,Samsung
08D46A,LG
08D59D,Sagemcom
08DF1F,Bose
08E63B,ZTE
08E689,Apple
08E7E5,Huawei
08E84F,Huawei
08EA44,Extreme
08EB74,Humax
08EBF6,Huawei
08ECA9,Samsung
08ECF5,Cisco
08EDB9,Foxconn
08EE8B,Samsung
08F1EA,HP
08F3FB,Cisco
08F458,Huawei
08F4AB,Apple
08F606,ZTE
08F69C,Apple
08F8BC,Apple
08FA28,Huawei
08FC88,Samsung
08FD0E,Samsung
08FF44,Apple
0C0227,Technicolor
0C02BD,Samsung
0C0535,Juniper
0C08B4,Humax
0C0E76,D-Link
0C1167,Cisco
0C1262,ZTE
0C1420,Samsung
0C1539,Apple
0C1773,Huawei
0C19F8,Apple
0C1C1A,eero
0C1C57,TI
0C1DAF,Xiaomi
0C2369,Honeywell
0C2724,Cisco
0C29EF,Dell
0C2C54,Huawei
0C2FB0,Samsung
0C3021,Apple
0C31DC,Huawei
0C354F,Nokia
0C3747,ZTE
0C37DC,Huawei
0C3B50,Apple
0C3E9F,Apple
0C413E,Microsoft
0C41E9,Huawei
0C42A1,Mellanox
0C4314,Silicon Labs
0C43F9,Amazon
0C45BA,Huawei
0C473D,Hitron
0C47C9,Amazon
0C4885,LG
0C4B54,TP-Link
0C4DE9,Apple
0C4F9B,Huawei
0C5101,Apple
0C5415,Intel
0C54A5,Pegatron
0C54B9,Nokia
0C599C,Juniper
0C6076,Foxconn
0C6127,Actiontec
0C61CF,TI
0C6803,Cisco
0C704A,Huawei
0C715D,Samsung
0C722C,TP-Link
0C72D9,ZTE
0C7329,Sercomm
0C74C2,Apple
0C75BD,Cisco
0C771A,Apple
0C7A15,Intel
0C7BC8,Cisco
0C7C28,Nokia
0C7FB2,Arris
0C8063,TP-Link
0C8126,Juniper
0C8268,TP-Link
0C839A,Huawei
0C8408,Huawei
0C84DC,Foxconn
0C8525,Cisco
0C8610,Juniper
0C8910,Samsung
0C8B7D,Vizio
0C8B95,Espressif
0C8BFD,Intel
0C8DCA,Samsung
0C8DDB,Cisco
0C8FFF,Huawei
0C9192,Intel
0C96BF,Huawei
0C975F,Aruba
0C9838,Xiaomi
0C9A3C,Intel
0C9D92,ASUSTek
0CA8A7,Samsung
0CAC8A,Sagemcom
0CAE7D,TI
0CAF31,Cisco
0CB2B7,TI
0CB319,Samsung
0CB527,Huawei
0CB6D2,D-Link
0CB771,Arris
0CB815,Espressif
0CB937,Ubee
0CBC9F,Apple
0CBEF1,Huawei
0CC413,Google
0CC47A,Supermicro
0CC66A,Nokia
0CC6CC,Huawei
0CC6FD,Xiaomi
0CCB85,Motorola
0CD0F8,Cisco
0CD292,Intel
0CD6BD,Huawei
0CD746,Apple
0CD996,Cisco
0CDC7E,Espressif
0CDD24,Intel
0CDDEF,Nokia
0CDFA4,Samsung
0CE0DC,Samsung
0CE441,Apple
0CE4A0,Huawei
0CE725,Microsoft
0CEAC9,Arris
0CEC80,TI
0CEC8D,Motorola
0CEE99,Amazon
0CEEE6,Foxconn
0CF346,Xiaomi
0CF4D5,Ruckus
0CF5A4,Cisco
0CF893,Arris
0CFE45,Sony
100020,Apple
100177,Huawei
1002B5,Intel
100501,Pegatron
1005B1,Arris
1005CA,Cisco
1005E1,Nokia
100645,Sagemcom
1006ED,Cisco
1007B6,Samsung
10082C,TI
1008B1,Foxconn
1009F9,Amazon
100BA9,Intel
100C6B,Netgear
100D7F,Netgear
100E2B,NEC
100E7E,Juniper
101081,ZTE
1012FB,Hikvision
101331,Technicolor
101B54,Huawei
101C0C,Apple
101DC0,Samsung
101F74,HP
102407,Huawei
1027F5,TP-Link
102959,Apple
1029AB,Samsung
102AB3,Xiaomi
102B41,Samsung
102D41,Amlogic
102E00,Intel
102EAF,TI
102F6B,Microsoft
103025,Apple
103047,Samsung
10321D,Huawei
10327E,Huawei
1033BF,Technicolor
10381F,Amlogic
103917,Samsung
10394E,Hisense
1039E9,Juniper
103B59,Samsung
103C59,ZTE
103D1C,Intel
103F44,Xiaomi
1040F3,Apple
10417F,Apple
104400,Huawei
104738,Nokia
104780,Huawei
104A7D,Intel
104E89,Garmin
104F58,Aruba
104FA8,Sony
105072,Sercomm
105107,Intel
105172,Huawei
10521C,Espressif
105611,Arris
105932,Roku
105A17,Tuya
105DDC,Huawei
105F06,Actiontec
105F49,Cisco
10604B,HP
1062D0,Technicolor
1062E5,HP
1062EB,D-Link
1063C8,Liteon
106530,Dell
106682,NEC
10683F,LG
106F3F,Buffalo
1070FD,Mellanox
107100,Huawei
1071B3,Zyxel
10746F,Motorola
1077B1,Samsung
10785B,Actiontec
107B44,ASUSTek
107BCE,Nokia
107BEF,Zyxel
107D1A,Dell
10868C,Arris
1089FB,Samsung
108CCF,Cisco
108EE0,Samsung
108FFE,Huawei
1091A8,Espressif
109266,Samsung
109397,Arris
1093E9,Apple
1094BB,Apple
109693,Amazon
1097BD,Espressif
109826,Nokia
109836,Dell
1098C3,Murata
109ADD,Apple
109C70,Prusa
109D7A,Huawei
109FA9,Actiontec
10A4DA,Huawei
10A51D,Intel
10A5D0,Murata
10A829,Cisco
10AE60,Amazon
10B1F8,Huawei
10B3C6,Cisco
10B3D5,Cisco
10B3D6,Cisco
10B9C4,Apple
10BD18,Cisco
10BEF5,D-Link
10BF48,ASUSTek
10C172,Huawei
10C25A,Technicolor
10C37B,ASUSTek
10C3AB,Huawei
10C595,Lenovo
10C61F,Huawei
10C6FC,Garmin
10CE02,Amazon
10CEA9,TI
10CEE9,Apple
10D0AB,ZTE
10D38A,Samsung
10D542,Samsung
10D561,Tuya
10D7B0,Sagemcom
10DA43,Netgear
10DA49,Huawei
10DDB1,Apple
10E177,Arris
10E4C2,Samsung
10E7C6,HP
10E878,Nokia
10E8A7,Wistron Neweb
10E953,Huawei
10EA59,Cisco
10EC81,Samsung
10F005,Intel
10F068,Ruckus
10F1F2,LG
10F311,Cisco
10F60A,Intel
10F920,Cisco
10F96F,LG
10F9EE,Nokia
10FC33,Huawei
10FEED,TP-Link
14007D,ZTE
140152,Samsung
1402EC,HP
1409B4,ZTE
1409DC,Huawei
140AC5,Amazon
140F42,Nokia
14109F,Apple
14115D,Skyworth
14130B,Garmin
141333,AzureWave
141346,Skyworth
1413FB,Huawei
14169D,Cisco
141877,Dell
1418C3,Intel
141AA3,Motorola
141F78,Samsung
14205E,Apple
142103,Calix
14223B,Google
1422DB,eero
14230A,Huawei
1423F2,Broadcom
142D27,Foxconn
142D4D,Apple
142E5E,Sercomm
143004,Huawei
1430C6,Motorola
1432D1,Samsung
143605,Nokia
1436C6,Lenovo
143CC3,Huawei
143E60,Nokia
143EBF,ZTE
143FA6,Sony
144146,Honeywell
1442FC,TI
144658,Huawei
144920,Huawei
1449D4,Xiaomi
1449E0,Samsung
144E2A,Ciena
144F8A,Intel
145051,Sharp
145120,Huawei
145594,Huawei
14563A,Huawei
14568E,Samsung
14579F,Huawei
1458D0,HP
1459C0,Netgear
145A05,Apple
145AFC,Liteon
145BD1,Arris
145F94,Huawei
146080,ZTE
1460CB,Apple
14656A,Huawei
146B9A,ZTE
14755B,Intel
147590,TP-Link
147740,Huawei
147BAC,Nokia
147D05,Sercomm
147DC5,Murata
147DDA,Apple
14857F,Intel
148692,TP-Link
14876A,Apple
1488E6,Apple
1489CB,Huawei
1489FD,Samsung
148C4A,Huawei
148F21,Garmin
148FC6,Apple
149138,Amazon
149182,Belkin
14946C,Apple
1495CE,Apple
1496E5,Samsung
149877,Apple
14987D,Technicolor
1499E2,Apple
149A10,Microsoft
149D09,Huawei
149D99,Apple
149ECF,Dell
149F3C,Samsung
149F43,Cisco
149FE8,Lenovo
14A0F8,Huawei
14A2A0,Cisco
14A32F,Huawei
14A364,Samsung
14A3B4,Huawei
14A51A,Huawei
14AB02,Huawei
14ABC5,Intel
14ABF0,Arris
14B31F,Dell
14B3A1,Juniper
14B457,Silicon Labs
14B484,Samsung
14B7F8,Technicolor
14B968,Huawei
14BB6E,Samsung
14BD61,Apple
14C03E,Arris
14C126,Nokia
14C14E,Google
14C213,Apple
14C88B,Apple
14C913,LG
14CB19,HP
14CB65,Microsoft
14CC20,TP-Link
14CF92,TP-Link
14CFE2,Arris
14D00D,Apple
14D11F,Huawei
14D169,Huawei
14D19E,Apple
14D424,AzureWave
14D4FE,Arris
14D64D,D-Link
14DAE9,ASUSTek
14DDA9,ASUSTek
14DE39,Huawei
14E6E4,TP-Link
14EB08,Huawei
14EBB6,TP-Link
14F287,Apple
14F42A,Samsung
14F65A,Xiaomi
14F6D8,Intel
14FB70,Huawei
14FEB5,Dell
18002D,Sony
1800DB,Fitbit
1801F1,Xiaomi
18022D,Huawei
180373,Dell
1804ED,TI
1806FF,Acer
180CAC,Canon
180F76,D-Link
18132D,ZTE
181456,Nokia
1816C9,Samsung
1819D6,Samsung
181BEB,Actiontec
181DEA,Intel
181E78,Sagemcom
181EB0,Samsung
182032,Apple
1820D5,Arris
182195,Samsung
18227E,Samsung
182649,Intel
182666,Samsung
182A57,Huawei
182A7B,Nintendo
182AD3,Juniper
182C65,TI
18300C,Hisense
1831BF,ASUSTek
18339D,Cisco
183451,Apple
1835D1,Arris
183A2D,Samsung
183CB7,Huawei
183D5E,Huawei
183DA2,Intel
183EEF,Apple
183F47,Samsung
1844E6,ZTE
184516,TI
184617,Samsung
1848BE,Amazon
1848CA,Murata
184B0D,Ruckus
184E16,Samsung
184ECB,Samsung
184F32,Foxconn
185345,Nokia
1854CF,Samsung
18550F,Cisco
1855E3,Apple
185644,Huawei
185680,Intel
1856C3,Apple
185933,Cisco
185936,Xiaomi
1859F5,Cisco
185A58,Dell
185B00,Nokia
185BB3,Samsung
185E0B,ZTE
185E0F,Intel
186024,HP
18622C,Sagemcom
1862E4,TI
186472,Aruba
186590,Apple
1866DA,Dell
1867B0,Samsung
18686A,ZTE
1868CB,Hikvision
1869D4,Samsung
1869D8,Tuya
18703B,Huawei
18742E,Amazon
1878D4,Verizon
187A3B,Aruba
187A3E,Silicon Labs
187C0B,Ruckus
187EB9,Apple
188090,Cisco
18810E,Apple
188331,Samsung
1886AC,Nokia
188740,Xiaomi
188796,HTC
18895B,Samsung
188B45,Cisco
188B9D,Cisco
189088,eero
1890D8,Sagemcom
1892A4,Ciena
1893D7,TI
189C27,Arris
189C5D,Cisco
189E2C,Huawei
189EFC,Apple
18A6F7,TP-Link
18A905,HP
18A99B,Dell
18AA0F,Huawei
18AB1D,Samsung
18AF61,Apple
18AF8F,Apple
18B169,SonicWall
18B430,Nest
18B81F,Arris
18BB1C,Huawei
18BB41,Huawei
18BFB3,Samsung
18C007,Huawei
18C04D,Gigabyte
18C086,Broadcom
18C23C,Aqara
18C241,SonicWall
18C2BF,Buffalo
18C300,Nokia
18C58A,Huawei
18CC18,Intel
18CE94,Samsung
18CF24,Huawei
18CF5E,Liteon
18D276,Huawei
18D6C7,TP-Link
18D6DD,Huawei
18D98F,Huawei
18DBF2,Dell
18DED7,Huawei
18E215,Nokia
18E2C2,Samsung
18E728,Cisco
18E7B0,Apple
18E7F4,Apple
18E829,Ubiquiti
18E91D,Huawei
18ECE7,Buffalo
18EE69,Apple
18EF3A,Amlogic
18EF63,Cisco
18F0E4,Xiaomi
18F1D8,Apple
18F22C,TP-Link
18F46A,Foxconn
18F643,Apple
18FAB7,Apple
18FB7B,Dell
18FE34,Espressif
18FF0F,Intel
1C08C1,LG
1C0D7D,Apple
1C1161,Ciena
1C12B0,Amazon
1C1386,Huawei
1C1448,Arris
1C151F,Huawei
1C17D3,Cisco
1C1AC0,Apple
1C1ADF,Microsoft
1C1B0D,Gigabyte
1C1B68,Arris
1C1BB5,Intel
1C1D67,Huawei
1C1D86,Cisco
1C1FF1,Huawei
1C20DB,Huawei
1C232C,Samsung
1C24CD,Askey
1C2704,ZTE
1C28AF,Aruba
1C2A8B,Nokia
1C34DA,Mellanox
1C34F1,Silicon Labs
1C36BB,Apple
1C3947,Compal
1C3A60,Ruckus
1C3ADE,Samsung
1C3BF3,TP-Link
1C3CD4,Huawei
1C3D2F,Huawei
1C3E84,Foxconn
1C4024,Dell
1C4363,Huawei
1C4419,TP-Link
1C4586,Nintendo
1C4593,TI
1C472F,Huawei
1C4BD6,AzureWave
1C4D66,Amazon
1C4D70,Intel
1C53F9,Google
1C56FE,Motorola
1C57DC,Apple
1C599B,Huawei
1C5A3E,Samsung
1C5A6B,Philips
1C5CF2,Apple
1C5F2B,D-Link
1C61B4,TP-Link
1C62B8,Samsung
1C6349,TI
1C659D,Liteon
1C666D,Foxconn
1C66AA,Samsung
1C6758,Huawei
1C6A76,Apple
1C6A7A,Cisco
1C6F65,Gigabyte
1C7022,Murata
1C7125,Apple
1C721D,Dell
1C73E2,Huawei
1C740D,Zyxel
1C7508,Compal
1C76F2,Samsung
1C7B21,Sony
1C7EE5,D-Link
1C7F2C,Huawei
1C8682,Apple
1C869A,Samsung
1C872C,ASUSTek
1C8B76,Calix
1C8E5C,Huawei
1C90BE,Ericsson
1C90FF,Tuya
1C9148,Apple
1C9180,Apple
1C937C,Arris
1C93C4,Amazon
1C98EC,HP
1C994C,Murata
1C9957,Intel
1C9C8C,Juniper
1C9D72,Technicolor
1C9DC2,Espressif
1C9E46,Apple
1C9ECC,Technicolor
1CA0B8,Foxconn
1CA410,Amlogic
1CA681,Huawei
1CAA07,Cisco
1CABA7,Apple
1CABC0,Hitron
1CAECB,Huawei
1CAF05,Samsung
1CAF4A,Samsung
1CAFF7,D-Link
1CB044,Askey
1CB094,HTC
1CB17F,NEC
1CB3C9,Apple
1CB72C,ASUSTek
1CB796,Huawei
1CB9C4,Ruckus
1CBA8C,TI
1CBDB9,D-Link
1CC10C,Intel
1CC1DE,HP
1CCCD6,Xiaomi
1CD1E0,Cisco
1CD6BE,Wistron Neweb
1CDEA7,Cisco
1CDF0F,Cisco
1CDF52,TI
1CE2CC,TI
1CE504,Huawei
1CE57F,Samsung
1CE61D,Samsung
1CE62B,Apple
1CE639,Huawei
1CE6AD,Huawei
1CE6C7,Cisco
1CE85D,Cisco
1CEA1B,Nokia
1CED6F,AVM
1CF29A,Google
1CF42B,Huawei
1CF8D0,Samsung
1CFA68,TP-Link
1CFC17,Cisco
1CFE2B,Amazon
2002AF,Murata
20040F,Dell
200889,ZTE
2008ED,Huawei
200B16,TI
200BC7,Huawei
200BCF,Nintendo
200CC8,Netgear
200E2B,Apple
2013E0,Samsung
201642,Microsoft
2016B9,Intel
2016D8,Liteon
201742,LG
201A06,Compal
201A94,Apple
201BC9,Juniper
201E88,Intel
201F3B,Google
2021A5,LG
202564,Pegatron
20283E,Huawei
202BC1,Huawei
202D07,Samsung
20326C,Samsung
2032C6,Apple
2034FB,Xiaomi
203626,TP-Link
203706,Cisco
2037A5,Apple
203A07,Cisco
203A43,Intel
203CAE,Apple
203D66,Arris
203DB2,Huawei
203DBD,LG
204747,Dell
2047DA,Xiaomi
204C03,Aruba
204C9E,Cisco
204E71,Juniper
204E7F,Netgear
204EF6,AzureWave
205383,Huawei
205476,Sony
2054FA,Huawei
205531,Samsung
205869,Ruckus
205E64,Huawei
205E97,Nokia
205EF7,Samsung
206274,Microsoft
206432,Samsung
20658E,Huawei
20677C,HP
20689D,Liteon
206980,Apple
206A8A,Wistron
206A94,Hitron
206BE7,TP-Link
206C8A,Extreme
206E9C,Samsung
207355,Arris
207600,Actiontec
20768F,Apple
207693,Lenovo
207852,Nokia
2078CD,Apple
2078F0,Apple
207918,Intel
207C8F,Quanta
207D74,Apple
208058,Ciena
2082C0,Xiaomi
2087EC,Huawei
208984,Compal
208986,ZTE
208B37,Skyworth
208BD1,NXP
208C86,Huawei
209148,TI
209A7D,Sagemcom
209BCD,Apple
209CB4,Aruba
209EF7,Extreme
20A171,Amazon
20A2E4,Apple
20A5CB,Apple
20A60C,Xiaomi
20A680,Huawei
20A6CD,HP
20A766,Huawei
20A99B,Microsoft
20AA4B,Linksys
20AB37,Apple
20AB48,Huawei
20B001,Technicolor
20B399,Extreme
20B780,Toshiba
20B868,Motorola
20BBC0,Cisco
20BECD,eero
20C047,Verizon
20C19B,Intel
20C38F,TI
20C6EB,Panasonic
20C9D0,Apple
20CD39,TI
20CF30,ASUSTek
20CFAE,Cisco
20D390,Samsung
20D5BF,Samsung
20D607,Nokia
20D778,TI
20D80B,Juniper
20DA22,Huawei
20DBAB,Samsung
20DCE6,TP-Link
20DCFD,Huawei
20DF73,Huawei
20DFB9,Google
20E09C,Nokia
20E2A8,Apple
20E52A,Netgear
20E564,Arris
20E6DF,eero
20E874,Apple
20E882,ZTE
20EE28,Apple
20EFBD,Roku
20F17C,Huawei
20F19E,Arris
20F375,Arris
20F3A3,Huawei
20F44F,Nokia
20F478,Xiaomi
20FDF1,3Com
20FE00,Amazon
2400BA,Huawei
24016F,Huawei
2401C7,Cisco
240588,Google
240935,Samsung
240995,Huawei
240A63,Arris
240A64,AzureWave
240AC4,Espressif
240B0A,Palo Alto
240F9B,Hikvision
241145,Xiaomi
241153,Samsung
241551,Huawei
24161B,Cisco
24166D,Huawei
24169D,Cisco
24181D,Samsung
241AE6,Huawei
241B7A,Apple
241EEB,Apple
241FA0,Huawei
241FBD,Extreme
2420C7,Sagemcom
242124,Nokia
2421AB,Sony
24240E,Apple
242642,Sharp
2426D6,Huawei
2428FD,Hikvision
242934,Google
2429FE,Kyocera
242E02,Huawei
242FFA,Toshiba
2430F8,Huawei
243154,Huawei
243184,Sharp
2432AE,Hikvision
2436DA,Cisco
24374C,Cisco
243FAA,Huawei
24418C,Intel
244427,Huawei
24456B,Huawei
2446C8,Motorola
2446E4,Huawei
244B03,Samsung
244B81,Samsung
244BFE,ASUSTek
244C07,Huawei
244CAB,Espressif
244CE3,Amazon
24586E,ZTE
245A4C,Ubiquiti
245AB5,Samsung
245BA7,Apple
245BF0,Liteon
245CC5,Huawei
245E48,Apple
245EBE,QNAP
245F9F,Huawei
245FDF,Kyocera
2462AB,Espressif
2462CE,Aruba
24649F,Huawei
246511,AVM
2468B0,Samsung
246968,TP-Link
2469A5,Huawei
246C60,Huawei
246E96,Dell
246F28,Espressif
246F8C,Huawei
247152,Dell
247189,TI
2474F7,GoPro
247625,TI
24767D,Cisco
247703,Intel
24792A,Ruckus
247D4D,TI
247E12,Cisco
247E51,ZTE
247F20,Sagemcom
247F3C,Huawei
24813B,Cisco
2481C7,Huawei
248A07,Mellanox
2491BB,Huawei
24920E,Samsung
2494CB,Arris
249745,Huawei
249AD8,Yealink
249EAB,Huawei
249F89,TI
24A074,Apple
24A160,Espressif
24A2E1,Apple
24A43C,Ubiquiti
24A487,Huawei
24A52C,Huawei
24A65E,ZTE
24A799,Huawei
24A87D,Panasonic
24AB81,Apple
24B2DE,Espressif
24B657,Cisco
24B6FD,Dell
24BCF8,Huawei
24BE05,HP
24C42F,Philips
24C44A,ZTE
24C613,Samsung
24C696,Samsung
24C9A1,Ruckus
24CD8D,Murata
24CE33,Amazon
24D0DF,Apple
24D3F2,ZTE
24D7EB,Espressif
24DA33,Huawei
24DA9B,Motorola
24DBAC,Huawei
24DBED,Samsung
24DEC6,Aruba
24DF6A,Huawei
